system,file,time
katch,nkpl/benchmarks/medium/Missouri_reachability.nkpl,0.071706572
katch,nkpl/benchmarks/medium/Missouri_unreachability.nkpl,0.068184628
katch,nkpl/benchmarks/medium/Sanet_slicing.nkpl,0.075308219
katch,nkpl/benchmarks/medium/Telcove_reachability.nkpl,0.072270155
katch,nkpl/benchmarks/medium/Telcove_unreachability.nkpl,0.072421749
katch,nkpl/benchmarks/medium/Uunet_slicing.nkpl,0.110906645
katch,nkpl/benchmarks/medium/ft6_h_reachability.nkpl,0.105308513
frenetic,nkpl/benchmarks/medium/Missouri_reachability.nkpl,164.814159024
frenetic,nkpl/benchmarks/medium/Missouri_unreachability.nkpl,167.355504057
frenetic,nkpl/benchmarks/medium/Sanet_slicing.nkpl,62.422964531
frenetic,nkpl/benchmarks/medium/Telcove_reachability.nkpl,465.432872913
frenetic,nkpl/benchmarks/medium/Telcove_unreachability.nkpl,464.644894947
frenetic,nkpl/benchmarks/medium/Uunet_slicing.nkpl,204.705528378
frenetic,nkpl/benchmarks/medium/ft6_h_reachability.nkpl,261.01471872
